Property Name,Branch Name,Industry Name,Irrigation Controller Count,Irrigation Controller Type,Irrigation Flow Sensor,Irrigation Master Valve,Irrigation Meter Count,Lead Source,Property Address Line 1,Property City,Property Group Name,Property State/Province Code,Property Type,Property Zip Code,Turf SF,Planter SF,Slope SF
Bixby Hills Garden HOA,Bemus Santa Ana - Anne,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,900 Palo Verde,Long Beach,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,90815,#N/A,#N/A,#N/A
Bixby Land- Office,Bemus Santa Ana - Anne,Commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Marketing Campaign,1501 Quail Street,Newport Beach,Bemus- Maintenance,CA,Maintenance,92660,#N/A,#N/A,#N/A
Bixby Village Plaza,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5760 E 7th St,Long Beach,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,90803,#N/A,#N/A,#N/A
Black Gold Golf Course,Bemus Santa Ana - Anne,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Black Gold Drive,Yorba Linda,Unknown,CA,Unknown,92886,#N/A,#N/A,#N/A
Black Mountain Village,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cold Call,Mira Mesa Blvd. & Black Mountain Rd,San Diego,Bemus- Maintenance,CA,Maintenance,92126,#N/A,#N/A,#N/A
Black Mountain Villas,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10928 Black Mountain Road,San Diego,Unknown,CA,Unknown,92126,#N/A,#N/A,#N/A
Blackstone Master Association,Bemus Santa Ana - Hathaway,HOA/COA/TOA,Unknown,Unknown,Unknown,Unknown,Unknown,Business Development,1461 Blackstone Pkwy,El dorado Hills,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,95762,#N/A,#N/A,#N/A
Blair Pruett - Feather Acres,Bemus San Marcos,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,980 Avocado Place,Del Mar,Bemus- Tree Care,CA,Tree Care,92014,#N/A,#N/A,#N/A
Bloomington Apartments,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,18028 Valley Blvd,Bloomington,Bemus- Maintenance/Tree Care,CA,Maintenance and Tree Care,92316,#N/A,#N/A,#N/A
Bloomington Lane HOA,Bemus Riverside,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Customer Referral,275 Bloomington Lane,Rialto,Unknown,CA,Unknown,92376,#N/A,#N/A,#N/A
